event,trader,side,shares,buy_price,buy_cost,buy_time,sell_price,profit,sell_time
Detroit Tigers vs. Boston Red Sox,orphan,Yes,11.11000000,0.45,4.9995,2026-04-18 02:54:57 UTC,,,
Detroit Tigers vs. Boston Red Sox,orphan,Yes,11.11,0.45,4.9995,2026-04-18 03:13:29 UTC,0.001,-4.98839,2026-04-18 03:13:54 UTC
Warriors vs. Suns,Dhdhsjsj,Yes,12.44,0.39,4.8516,2026-04-18 03:24:16 UTC,0.33,-0.7464,2026-04-18 03:43:41 UTC
Warriors vs. Suns,orphan,Yes,0.1377,0.37,0.0509,2026-04-18 04:26:59 UTC,,,
Dota 2: Xtreme Gaming vs Natus Vincere (BO3) - PGL Wallachia Group Stage,Dhdhsjsj,Yes,6.32,0.46,2.9072,2026-04-18 04:49:23 UTC,0.38,-0.5056,2026-04-18 07:18:52 UTC
Dota 2: Team Spirit vs Vici Gaming - Game 1 Winner,bossoskil1,Yes,11.64,0.50,5.8200,2026-04-18 07:17:12 UTC,0.67,1.9788,2026-04-18 07:25:11 UTC
Wuning 2: Sergey Fomin vs Fajing Sun,orphan,Yes,5.5964,0.86,4.8129,2026-04-18 08:31:53 UTC,0,-4.812904,2026-04-18 09:44:57 UTC
Will Melbourne City FC win on 2026-04-18?,orphan,Yes,9.8,0.48,4.704,2026-04-18 08:31:53 UTC,0.35,-1.274,2026-04-18 08:32:13 UTC
Dota 2: Xtreme Gaming vs Natus Vincere - Game 2 Winner,orphan,Yes,16.7389,0.58,9.7086,2026-04-18 08:31:53 UTC,,,
Trump announces end of military operations against Iran by April 21st?,orphan,Yes,19.23,0.24,4.6152,2026-04-18 08:31:53 UTC,0.2,-0.7692,2026-04-18 11:48:50 UTC
Wuning 2: Sergey Fomin vs Fajing Sun,orphan,Yes,121.325,0.02,2.4265,2026-04-18 08:31:53 UTC,0.001,-2.305175,2026-04-18 08:32:16 UTC
Dota 2: Xtreme Gaming vs Natus Vincere (BO3) - PGL Wallachia Group Stage,orphan,Yes,17.3343,0.58,10.0539,2026-04-18 08:31:53 UTC,0.22,-6.240348,2026-04-18 08:32:18 UTC
Valorant: JD Gaming vs EDward Gaming (BO3) - VCT China Ranking Matches,orphan,Yes,14.007,0.34,4.7624,2026-04-18 08:31:53 UTC,,,
